CATEGORY: Corte de interés,,,
Name;Time;Start;Stop;Team;Player;Correcto;Fallo,,,
R&R-Atleti1;12:50,540;12:50,540;13:27,510;;;0;1
R&R-Atleti2;17:33,020;17:33,020;18:04,930;;;0;1
WTF;24:40,160;24:40,160;24:53,760;;;0;1
WTF2;24:54,880;24:54,880;25:04,030;;;0;1
Apelotonados;30:19,320;30:19,320;30:56,900;;;0;1
,,,
CATEGORY: Placaje,,,
Name;Time;Start;Stop;Team;Player;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P22;P23;QP0;QP1;QP2;QP3;ZP0;ZP1;ZP2;ZP3,,,
Placaje 001;7:39,160;7:29,160;7:49,160;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
Placaje 002;7:44,080;7:34,080;7:54,080;;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
Placaje 003;7:44,360;7:34,360;7:54,360;;;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
Placaje 004;7:49,560;7:39,560;7:59,560;;;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
Placaje 005;12:54,840;12:44,840;13:04,840;;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
Placaje 006;12:56,200;12:46,200;13:06,200;;;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
Placaje 007;12:58,760;12:48,760;13:08,760;;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
Placaje 008;13:02,000;12:52,000;13:12,000;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
Placaje 009;13:04,880;12:54,880;13:14,880;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
Placaje 010;13:06,080;12:56,080;13:16,080;;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Placaje 011;13:12,040;13:02,040;13:22,040;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
Placaje 012;13:15,280;13:05,280;13:25,280;;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
Placaje 013;13:16,040;13:06,040;13:26,040;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Placaje 014;13:17,080;13:07,080;13:27,080;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
Placaje 015;13:19,640;13:09,640;13:29,640;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Placaje 017;15:03,960;14:53,960;15:13,960;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
Placaje 016;15:05,920;14:55,920;15:15,920;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
